BACKGROUND,planet.gif
WALL,0,0,800,20,blue.jpg
WALL,0,780,800,20,blue.jpg
WALL,0,0,20,800,blue.jpg
WALL,780,0,20,800,blue.jpg
WALL,120,80,560,20,blue.jpg
WALL,120,80,20,120,blue.jpg
WALL,660,80,20,120,blue.jpg
WALL,240,160,40,40,blue.jpg
WALL,520,160,40,40,blue.jpg
WALL,120,300,240,20,blue.jpg
WALL,440,300,240,20,blue.jpg
WALL,360,200,80,20,blue.jpg
WALL,360,200,20,120,blue.jpg
WALL,440,200,20,120,blue.jpg
WALL,60,380,40,40,blue.jpg
WALL,700,380,40,40,blue.jpg
WALL,0,460,160,20,blue.jpg
WALL,640,460,160,20,blue.jpg
WALL,200,500,400,20,blue.jpg
WALL,200,500,20,160,blue.jpg
WALL,580,500,20,160,blue.jpg
WALL,300,580,200,20,blue.jpg
WALL,300,500,40,40,blue.jpg
WALL,460,500,40,40,blue.jpg
WALL,60,560,40,40,blue.jpg
WALL,700,560,40,40,blue.jpg
WALL,120,700,560,20,blue.jpg
WALL,120,640,20,60,blue.jpg
WALL,660,640,20,60,blue.jpg
WALL,320,680,40,40,blue.jpg
WALL,440,680,40,40,blue.jpg
COIN,390,515,40,40,coin.png
COIN,390,35,40,40,coin.png
COIN,320,260,40,40,coin.png
COIN,745,420,40,40,coin.png
DOOR,390,235,50,70,door4.png
